"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1000_at",0.148674483559845,0.826116354473676,2.24919705245538,0.528257622739061,0.583559378700605,0.702344992854931,1.35573867350037,0.280833341026778,1.37500853078873,1.83329528993542
"1001_at",0.190755810781096,0.129847656009238,2.04882100188804,0.32302610424699,0.545176298655571,0.162647887272533,1.184657815397,0.326257954380205,1.92516368933347e-05,0.215473741390559
"1002_f_at",0.649087085876125,0.578609880745786,0.800866279636191,0.661497112729922,0.0449733780613197,0.158866377585094,0.31242306960166,0.571703978635754,0.436709003947311,1.07824511459346
"1003_s_at",0.572299742763297,0.718634018415748,1.35224774208243,1.47818272122183,0.519343985930634,0.375833785680203,0.938071168035685,0.17200389101669,0.679555335315339,1.41794478327575
"1004_at",0.200984180531992,0.856132708461441,0.854501785666361,0.334783178175893,0.572058108014084,0.0677492337395881,0.507362475938395,0.281146767161356,0.747435116808864,1.27106377451845
"1005_at",0.803707860902447,0.622222438423047,0.835368020714625,0.493758932143427,0.302744715435394,1.95817555801406,1.04565189326089,0.713626397301149,0.0220935171461909,1.55142632078489
"1006_at",9.19997157035636,8.13046584857762,0.0109391426874555,3.3288026922535,8.8985546421892,1.76548508196266,8.52456396761987,8.72696955091652,0.603481955250093,0.97126811583059
"1007_s_at",0.595681964812841,0.487148728851709,1.4042184689779,0.728032025344063,0.600186216892484,1.3232148209273,0.987639534835138,0.312786736761573,0.4881393658939,2.102476423474
"1008_f_at",1.54784473341407,2.62876987056551,0.0348650492440295,0.832019264521704,0.951544856772091,0.959530953511863,0.778760585990592,1.60627946475917,1.00242546490659,1.00623454181041
"1009_at",2.5070675851413,1.14474505752736,2.43917868388294,1.91792084772754,1.19206317540163,1.06607201973009,1.64394752920549,1.44114926303155,2.0609996742713,2.2366946082716
"100_g_at",0.576822340870783,0.521935049881346,1.38493543951164,0.228227767568851,0.324475429329858,1.00812745694448,1.39630583745816,0.301045819555721,1.21250006084777,0.751240959541919
"1010_at",0.214592552077065,0.12756445511285,0.59209549558283,0.605669312373582,1.04396033670773,0.195250505067794,0.0189752471438654,0.916094542600452,0.0407266552196534,0.554971903946255
"1011_s_at",1.11795037713215,1.57175592372879,6.76954743659527,1.69565540441349,1.05905152882335,1.49851989385462,0.839677056753098,2.21172632725204,2.53645669546458,3.6251645460942
"1012_at",0.0755710493957087,0.223398826426294,1.35254987683745,1.00732541264003,0.365522655633886,1.0514329804248,0.551948661976159,0.052048390584638,0.844828110684231,1.14223786087717
"1013_at",0.431949496221116,3.65546016469032,7.86331508741086,0.690828172315129,0.40469166452627,4.09595777629498,0.498727958958149,0.899568801598191,1.13513082724218,7.50194839217944
"1014_at",0.0626292392511975,2.00395647679384,1.16030956509368,0.850680698884808,1.39254489334413,0.0293971532817449,1.14203898918093,0.262803091436634,0.308294801472951,0.438500181102367
"1015_s_at",0.663608641414915,1.04737072360743,0.693436674443704,0.282637810658633,0.354664357631047,0.433381102285734,0.0739918518739667,0.281280023774032,0.694808395059045,0.191321186149375
"1016_s_at",2.78606742640142,0.848356744339348,1.17781261798554,0.520552481838718,0.0330112904156727,0.299368299851623,3.8655081923801,2.54781520740791,0.0938802706866416,1.07401592794126
"1017_at",0.323960450220034,1.23785491296059,0.630239682102172,1.99247252396367,0.905360118802223,0.545296187161746,1.72322284227185,1.15394205059872,0.731951400615253,1.34980595512404
