"","V1","V2","V3","V4","V5"
"1007_s_at",3.14609332979527,1.56246797924597,2.56928243036169,2.50837413184843,3.03001809685393
"1053_at",2.09401119144867,1.33157780944268,0.881427644495773,0.752975361390125,2.09343342262486
"117_at",0.024293350698347,0.219902098418854,0.122027509676952,0.616843965357307,1.07333405584836
"121_at",0.118095828476153,0.0309804745517561,0.317020716751008,0.494540777716561,0.010512163486362
"1255_g_at",0.3271453720049,0.149229726578356,0.0169733614973413,0.259231499570624,0.370940023995974
"1294_at",2.28560946695827,1.50058614810349,2.0171489041167,2.40157773346713,1.91784112104658
"1316_at",0.558894021744912,0.192975029647838,0.334228402713968,0.184833395361798,0.204804333823033
"1320_at",2.67166142038317,1.75596547866624,0.124316757250823,0.591303242998216,0.750045640584479
"1405_i_at",2.4988903946569,2.42504187226104,0.111967676746074,5.22250363717504,7.10230284311397
"1431_at",0.679982733305793,0.92884860515765,0.415689033708656,0.0881785016977601,1.14763591513449
"1438_at",2.47580542921042,2.48051961899949,1.71557382696872,3.0883656209212,3.9870834199254
"1487_at",0.23309977849935,0.216910111135675,0.0889864715579991,0.72307944755344,0.161862206066998
"1494_f_at",0.694734873477105,0.510549227578726,0.236105761687284,0.253571555722612,0.351734356612466
"1598_g_at",1.75942435991143,0.893014892868232,1.35841929722619,2.332194058144,2.33116716131086
"160020_at",0.68507020505077,1.87572237049991,2.13990011974895,1.66051977697648,0.479205928521711
"1729_at",0.412631904113847,0.399613306091818,0.589241579871377,0.38733350932615,1.18325755412618
"1773_at",1.63307649686106,0.149869360230009,0.505285286242725,1.06467555910333,1.14894745840257
"177_at",2.81118372462631,1.04532129565746,0.110403568217401,0.0599674803284957,1.18719738494447
"179_at",0.423981410971222,0.163380454771741,0.156844660534113,0.312332576146373,0.0837000923095861
"1861_at",0.0865178965912665,0.352489720251838,2.22733011276643,0.338903205783386,1.45138531864244
"200000_s_at",0.0192098462909389,0.159013896559109,0.569805727077244,1.13989172662106,0.285091108694595
"200001_at",0.439011453696295,0.676223322845248,0.393286591753086,1.27891224158477,0.748369369790249
"200002_at",1.46326532144844,0.217353796585374,0.635484716880208,1.03116560479111,0.843058291015291
"200003_s_at",0.0642110736765915,1.29103255836654,0.941683812601445,1.87709637578686,0.129167298097787
"200004_at",0.479410474212386,0.864627411680712,0.493343902951535,0.186890719554494,0.709320606759244
"200005_at",0.385247474641755,1.14360409817233,0.638873781782655,0.94774533496094,0.470252742051846
"200006_at",0.538167372077214,0.783058849257405,1.32770133207299,0.275506582652716,0.811419546908987
"200007_at",0.38444664969873,0.216030195239384,0.975214673278032,0.490265038947927,0.483705335291434
"200008_s_at",0.314134227263395,0.13879042558005,0.456114359735627,0.24282556434919,2.38111728514326
"200009_at",0.298643266510524,0.0021160539538459,0.52551841129395,0.35505628193657,0.552071998166376
"200010_at",0.463317170180289,0.518600911343595,0.295280144513422,0.00803096961458189,1.19055564525014
"200011_s_at",0.0964959449917507,0.871048803616633,1.01137839175388,0.527906652155066,0.485873293001791
"200012_x_at",0.333663625729069,0.16899444645614,0.710014514003365,0.465879011834649,1.03692368055158
"200013_at",0.469829202210061,1.53733406442027,1.28732598174487,0.924993856799793,0.496196647046117
"200014_s_at",0.0815260508949883,0.447412057128575,1.35350713454647,1.31878527259542,0.477677898754193
"200015_s_at",0.460279834371014,1.34695624364536,0.138235159221744,1.03093071433506,0.881667553894524
"200016_x_at",0.153491466121522,0.297168592643686,0.195714153212561,0.0081601901514962,0.140833311590998
"200017_at",0.170275831884118,0.608989271125407,0.265755159871162,1.23042609079923,0.173288665869331
"200018_at",0.0596688503241771,0.0368250745658998,0.102113232739666,0.553979092090938,0.0610826886232954
"200019_s_at",0.542657755727975,0.284765924247993,0.338370989901043,0.107612740763324,0.339091613052358
"200020_at",0.0314892242965271,0.106029631444629,1.3803267481217,0.798663326904848,0.544576277367878
"200021_at",0.545200375121283,0.903059338575171,0.236534876801489,0.747275146187446,0.621412278334518
"200022_at",0.643611781652524,1.48045181166908,1.21096680257504,0.928549423067117,0.683906818705653
"200023_s_at",0.262673792390688,0.490499130694004,0.590460006285527,0.0362182331204822,0.0525624122602445
"200024_at",1.07482377994773,2.15246731286952,1.71402652401236,1.83781910120464,0.394073159063415
"200025_s_at",0.294373288094586,0.384385580203586,0.0163535465778456,1.18842058341895,0.770302371033382
"200026_at",0.536355027125129,0.512916823556697,1.05128035410662,0.283821235718889,0.554779518474294
"200027_at",0.603995864791407,0.967647070434733,1.67379090255296,2.87602433063254,0.880038324418207
"200028_s_at",0.433965681201445,0.365535922704762,0.848019616930696,0.0666411476454061,1.61557634854616
"200029_at",0.37087616731612,0.542608378396821,0.624808406962894,1.4369039967316,1.12962119631874
"200030_s_at",0.0297259118443412,0.199939347798966,0.348230650745522,0.0724555821105933,0.318911776487475
"200031_s_at",0.719577282910353,0.921744915982783,0.136301740732145,0.580096084872081,0.223150231118362
"200032_s_at",0.170305511053109,0.766899905472232,0.0871520662892598,0.289822281695631,0.566145476101159
"200033_at",0.819442975350493,0.987788567910385,1.27591765008936,0.0808243877929817,0.712989375255611
"200034_s_at",0.182116407284063,1.4904328364593,0.473137594099996,1.49906074115108,0.566044342134081
"200035_at",0.0348625588665287,0.0900810968772471,0.475256091264273,0.159486551708657,0.556498411501696
"200036_s_at",0.430228917207545,2.16114347334475,0.782638727706879,1.17087874014834,0.263691163207608
"200037_s_at",1.42055791579027,0.994328626491425,0.750542576281636,1.66517301410125,1.66855163679134
"200038_s_at",0.0604602006102987,1.12319866729206,0.376580177772132,3.20640180604958,0.166966212444477
"200039_s_at",1.72800533300419,1.88870000755165,3.11696416856113,2.26390748725767,2.07501055275868
"200040_at",0.0094720657431897,0.303302365461771,0.455578565533047,0.465260982474043,0.626460219069334
"200041_s_at",0.722371556584106,1.16721218009401,1.65896973296684,1.45311466030662,0.516421041096603
"200042_at",0.930700026293579,0.870709510155293,1.09328177949067,0.986500761306751,0.825393881129309
"200043_at",1.37477774142947,0.0171369261514045,0.875932353049981,0.518849450861301,0.110821766384841
"200044_at",1.91627391257813,1.1996470320053,1.02998335348481,1.01040542575756,2.19629018263231
"200045_at",1.22822562394284,0.769354423675923,1.40830941720112,1.73327067618057,1.3225632113982
"200046_at",0.189222072716281,0.371062297377466,1.74400299119131,1.51605009655088,0.91471737902372
"200047_s_at",2.19298580636595,1.4136022077033,1.85392331176419,0.0825255720680297,1.06652189818489
"200048_s_at",0.265687370712942,0.31586997282953,0.556921477117497,1.25230287585051,1.73551728570673
"200049_at",0.897301216624889,0.690224003137314,0.233482928824598,0.189213787029097,0.0480173327026686
"200050_at",0.557020676057564,2.221576966927,2.83934050070582,3.5741870443438,1.86340249097524
"200051_at",0.14508818718038,0.301287638802365,0.0416325106324209,0.608780918097107,0.0289759189945529
"200052_s_at",1.86340905913696,2.63794282457149,3.81848630095917,1.64112286305268,2.44981234195029
"200053_at",0.0613598114003058,0.00463243847449114,0.456913943600792,0.480429239111526,1.17078308990517
"200054_at",1.20586890993852,1.53169418677624,2.17087041911173,0.517839301235641,0.174628092800417
"200055_at",0.133186456535794,0.548120633358765,0.08484322852951,1.03641340442031,0.679390321608787
"200056_s_at",0.690379235894005,2.93446654956013,1.46217068836136,1.35964269053718,0.835169684437979
"200057_s_at",0.260681173659257,0.491103785130864,0.504929945946219,0.642992551347554,1.10933922114476
"200058_s_at",1.5692035203601,1.34364402135131,1.5662782840922,0.503428976574827,0.87381487175132
"200059_s_at",1.23974061879746,1.72312844850819,0.59999959549189,2.09843925439581,0.675947840814717
"200060_s_at",1.10698580426131,1.33300955359725,1.83489967562091,0.469879799062733,1.80160992895089
"200061_s_at",0.436943842202991,0.272940941264431,1.168369664031,0.536273683579793,0.853778707992942
"200062_s_at",0.0773724514047774,1.25884584031065,0.427005629626595,1.01960727596044,0.28389003482404
"200063_s_at",0.758912650102573,0.0613608200751859,0.181884499281992,1.23232342969393,0.380581331434201
"200064_at",1.19490540241463,0.416683894620544,0.97943694772572,2.98039928342624,1.49430231345599
"200065_s_at",0.105321374514211,0.376862302239465,1.02847846438282,0.218720691359224,0.658972981492527
"200066_at",1.35516436161435,1.0076781023322,1.53320201489499,0.909116151869251,1.92140052486139
"200067_x_at",0.932344648608117,0.900214751848086,0.748004290652311,0.667812139696121,1.75496578323506
