"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1000_at",0.672150674954106,0.84309456159574,2.70290674604265,0.464882167241043,0.419780622186022,0.271619301830362,0.356463684872526,1.03453507480095,0.781197647968838,2.76135332138917,1.16948661412819,2.2548538999022,0.365977970949494,0.286182158097091,1.71778432287722,0.508109510567997,1.51592741881218,0.596494971429042,1.84472622333493,0.775233829613003,1.84897599325577,2.58478569359417
"1001_at",1.90096734421565,0.364521015716602,1.36224020570221,1.25086959473212,0.771470558737019,0.153952967311085,2.39553973636175,0.470899693309364,0.677783347939167,0.616012997204502,0.551385837305816,0.965135095079508,2.80591415627834,0.42497831411079,0.128411671586437,0.154532966460554,0.712776900674494,1.58729955052701,0.921585749415336,1.4729060239241,0.175992200717734,0.804989900006137
"1002_f_at",1.14920756609001,0.0639734278284013,1.20504406008563,0.613148626842901,0.350808690618029,1.99195697592296,0.0146597775925758,0.614193929946254,0.788543537412267,1.62229183870303,1.73991377111347,2.20323121497936,3.85398976713357,1.54363722148918,3.2983190091458,0.47880278574094,2.61596817863289,1.16493055211214,0.516479777035523,0.81941704753851,1.42305020232997,0.868246406372871
"1003_s_at",0.385871765356307,0.682132709304419,1.13267183946067,2.32589895864112,1.26136849081495,0.3402611139947,0.277456229420996,1.4330857309176,0.771933273810514,0.978626588886402,0.152938601175246,0.809055712304378,1.52240257422699,0.440281318036979,0.104883741887631,0.757056991507683,0.728649361882082,0.534889979594511,2.57795767372425,1.17670044433723,1.27929757906462,0.888417416546768
"1004_at",0.550745033870181,0.96047716537261,0.611683908617837,0.0374521202854587,1.31472774526534,0.771258246679551,0.430691776119704,1.25513027947664,0.326840728570998,0.61149189565195,0.881445638102697,0.0987511999558045,1.4693893616457,0.205640029953053,0.129170711813487,0.595243633815154,0.423788006628505,1.37398239157472,0.563113782116891,1.65820264770461,0.178908818874139,0.750289632667473
"1005_at",3.76437277041048,1.00293693878035,0.887440314119456,1.58886782534908,1.50482485501743,4.82634678096213,3.44439984524743,3.32893991629517,2.17369060183734,1.73048328875877,1.17318394077641,0.707129562880675,2.13291565657803,3.50586437006072,0.209540026934028,0.864797417705489,4.62285868282889,0.77750640562185,0.0337376965966077,0.0237874739259204,3.08695012163607,4.23597066864554
"1006_at",6.94658766983932,9.25112251049369,3.02033737636215,5.06565295295024,10.9890406064663,3.70441104806992,7.89788710059654,11.0747830866792,3.58125434645975,1.66914394241885,0.595772014057836,1.0674788601431,9.3819938059527,0.367469266008777,4.64574482130134,8.0626319078765,0.997886725541155,7.03026756481653,4.38777403726601,0.848621121375691,4.93530143473854,7.25388158743555
"1007_s_at",0.515071186128574,0.732431757995738,0.938562875541257,1.6700833749616,2.01175888658129,1.60164658312733,1.60891844779155,0.155462117314658,0.201854598585393,2.61399212208056,1.6356263805526,1.06400379295523,1.61086003954555,0.155646594361406,0.929306812453888,0.0731738395013542,0.834135106564395,1.00371750899047,0.82969950730654,2.26518672954451,1.43781415981808,0.788043530239745
"1008_f_at",2.27930770754173,4.08348787864959,0.289070957235458,0.110123601810212,0.960110160072753,0.879308246768915,1.42512539836608,0.320843142565622,0.799367075592283,1.06962089019621,0.755197178406767,0.497854906547587,0.529431149006763,0.940591239973619,0.186855297273243,0.042533334774517,0.130087884697736,1.09652601031954,0.0862221363553427,0.362465895772468,0.883321330326115,0.514383582415168
"1009_at",3.64075331678355,2.10184676178108,0.62714063450646,2.00776763140472,0.631219184285557,0.945125695707384,2.93379290037916,0.611528752994004,0.0441302802478317,0.213955554527642,0.172091341123403,0.954431461533499,0.0467761843051024,1.60404901864338,2.59607588288627,1.13219154836932,1.16683961845649,0.0766155184166562,0.989302696628831,1.14004748201752,1.33452278838326,0.758295419503955
