Gene ID,TCGA-38-4625-11A-01R-1758-07,TCGA-38-4625-01A-01R-1758-07
ACBD4|79777,298.5572,371.3001
ACBD5|91452,699.2231,926.1896
ACBD6|84320,875.6937,380.6669
ACBD7|414149,65.4828,13.8629
ACCN1|40,2.2198,0.7493
ACCN2|41,89.9001,21.3563
ACCN3|9311,21.0877,4.1214
ACCN4|55515,3.3296,2.6227
ACCN5|51802,0,0
ACCSL|390110,0,0
ACCS|84680,170.9212,165.2304
ACD|65057,368.4795,351.0678
ACE2|59272,55.4939,49.0821
ACER1|125981,0,0.7493
ACER2|340485,66.5927,40.8393
ACER3|55331,374.0289,659.7977
ACE|1636,249.7225,2860.622
ACHE|43,160.9323,32.5965
ACIN1|22985,1657.0477,1501.686
ACLY|47,1811.3208,2556.0135
ACMSD|130013,0,1.8734
ACN9|57001,1320.7547,213.1885
ACO1|48,1125.4162,1617.4597
ACO2|50,1075.4717,2959.7415
ACOT11|26027,26.6371,95.1442
ACOT12|134526,0,0.3747
ACOT13|55856,6206.1265,768.8535
ACOT1|641371,1031.0766,2003.2709
ACOT2|10965,600.444,955.5152
ACOT4|122970,114.3174,351.0678
ACOT6|641372,7.7691,6.7441
ACOT7|11332,638.1798,770.7006
ACOT8|10005,1211.7536,472.5515
ACOT9|23597,1164.2619,727.2387
ACOX1|51,1632.6304,1505.0581
ACOX2|8309,13.3185,198.2016
ACOX3|8310,430.6326,438.7411
ACOXL|55289,0,270.888
ACP1|52,3277.4695,1490.4459
ACP2|53,1452.8302,1048.7074
ACP5|54,1670.3663,19278.7561
ACP6|51205,129.8557,276.8827
ACPL2|92370,233.0744,172.7239
ACPP|55,362.9301,133.0086
ACPT|93650,2.2198,0.3747
ACRBP|84519,14.4284,43.8366
ACRC|93953,3.3296,11.9895
ACRV1|56,2.2198,0
ACR|49,0,12.7389
ACSBG1|23205,1.1099,48.7074
ACSBG2|81616,0,2.6227
ACSF2|80221,2189.7891,901.8359
ACSF3|197322,321.8646,493.4432
ACSL1|2180,491.6759,7809.2919
ACSL3|2181,4507.2142,1689.3968
ACSL4|2182,5341.8424,3139.378
ACSL5|51703,1165.3718,1788.3102
ACSL6|23305,5.5494,7.1188
ACSM1|116285,0,33.3458
ACSM2A|123876,0,14.9869
ACSM2B|348158,0,13.4882
ACSM3|6296,3.5738,273.0611
ACSM4|341392,0,0
ACSM5|54988,5.5494,62.9449
ACSS1|84532,567.1476,1394.9045
ACSS2|55902,597.1143,3101.5362
ACSS3|79611,27.7469,265.2679
ACTA1|58,34.4062,7.8681
ACTA2|59,4198.8124,9106.3732
ACTBL2|345651,2.2198,5.6201
ACTB|60,74271.9201,140905.2079
ACTC1|70,0,4.1214
ACTG1|71,83884.5727,60121.0191
ACTG2|72,94.3396,1312.4766
ACTL6A|86,4773.5849,812.2892
ACTL6B|51412,776.9145,0
ACTL7A|10881,0,0
ACTL7B|10880,0,0.3747
ACTL8|81569,2.2198,0
ACTL9|284382,0,0
ACTN1|87,2265.2608,3587.4859
ACTN2|88,3.3296,107.5309
ACTN3|89,0,0
ACTN4|81,7241.687,10744.0165
ACTR10|55860,4298.5572,1294.1176
ACTR1A|10121,2135.4051,3151.3676
ACTR1B|10120,1827.9689,2242.4129
ACTR2|10097,5671.4761,6469.8389
ACTR3B|57180,185.3496,96.6654
ACTR3C|653857,108.768,52.0794
ACTR3|10096,14805.7714,4698.0142
ACTR5|79913,550.4994,179.0933
ACTR6|64431,1198.6681,549.6441
ACTR8|93973,225.3052,369.4268
ACTRT1|139741,0,0
ACTRT2|140625,0,0
ACVR1B|91,348.5017,895.0918
ACVR1C|130399,18.8679,41.2139
